claim_id,claim,classification,label
0,"In a letter to Steve Jobs, Sean Connery refused to appear in an apple commercial.",Supported,Refuted
1,Trump Administration claimed songwriter Billie Eilish Is Destroying Our Country In Leaked Documents,"system

You are an  that generates a question-answer pair based on the given claim and document. The question should focus on the factual content, and the answer must be grounded in the document only.",Refuted
2,"Due to Imran Khan's criticism of Macron's comments on Islam, French authorities cancelled the visas of 183 Pakistani citizens and deported 118 from the country.",Refuted,Refuted
3,UNESCO declared Nadar community as the most ancient race in the world.,Refuted,Refuted
4,Republican Matt Gaetz was part of a company that had to pay 75 million in hospice fraud. They stole from dying people.,Supported,Refuted
5,The United States of America and its Western allies have been using their media outlets to publish articles based on fabricated information under allegations of non-compliance with the Chemical Weapons Convention.,Refuted,Refuted
6,"More than 225,000 people dead, 225,000. The estimates are, if we’d have acted responsibly, there’d be 160,000 fewer dead than there are today, because of covid-19.",Refuted,Supported
7,"Why should you pay more taxes than Donald Trump pays? And that’s a fact. $750. Remember what he said when that was raised a while ago, how he only pays … He said, ‘Because I’m smart. I know how to game the system.’",Supported,Supported
8,You’re watching the cheaters and all those people that send in the phony ballots. … They want to have the count weeks after November 3.,"<question>
Are mail in ballots being counted before election day?
<answer>
No

<question>
Are mail in ballots being sent out in Pennsylvania?
<answer>
Pennsylvania is one of several crucial swing states including Michigan and Wisconsin that have faced an influx of mail-in voting amid the coronavirus pandemic that could be magnified in November if we don't take steps in the immediate future said Wendy Weiser, director of the Democracy Program at the Brennan Center for Justice. Were going to see across the country a lot of mail-in ballots that are going to take weeks to count.

<question>
Are mail in ballots being sent out in Pennsylvania?
<answer>
Pennsylvania is one of several crucial swing states including Michigan and Wisconsin that",Refuted
9,"You see the number today? 33.1 GDP. The biggest in the history of our country by almost triple, right? Almost triple. Now it’s very much bigger than any GDP we’ve ever had. You have to go back to the 1950s, and then it’s less than half. This is the greatest number, 33.1 percent.",Supported,Not Enough Evidence
10,"Donald Trump, when he thinks of climate change, he says hoax. Well, guess what? Speaking of hoaxes, remember what he said about these increasing violent hurricanes and the frequency? He actually said, maybe we should detonate a nuclear bomb over the Atlantic. By the way, the same stable genius who said the biggest problem we had in the Revolutionary War is we didn’t have enough airports.",Refuted,Conflicting Evidence/Cherrypicking
11,The U.S. surgeon general and the Centers for Disease Control both previously said that ‘masks are not effective in preventing [the] general public from catching coronavirus.’,Refuted,Conflicting Evidence/Cherrypicking
12,New Zealand’s new Food Bill bans gardening,Supported,Refuted
13,Wearing face masks will stop the spread of covid 19,Refuted,Supported
14,Jammu and Kashmir (J&K) in Pakistan/India was removed from the United Nations (UN) list of “unresolved disputes”.,Refuted,Refuted
15,"Illegal drug, border crossings, and human smuggling activities have decreased in areas where barriers are deployed in the United States.",Supported,Not Enough Evidence
16,The plentiful evidence we have indicates that masks would not meaningfully help with aerosol transmission of COVID 19.,Refuted,Refuted
17,All USA Ballots Arriving After Election Day Will Be Thrown Out,Refuted,Refuted
18,Even if your mail-in ballot is postmarked prior to the Election day but arrives after the Election day it will be thrown out.,Refuted,Conflicting Evidence/Cherrypicking
19,Video shows attack of French embassy in Sudan,Refuted,Refuted
20,"Viral video purportedly shows Pakistani opposition MPs chanted ‘Modi, Modi’ (India's PM)  inside the Pakistani Parliament",Refuted,Refuted
21,"Taylor Zundel claimed on Instagram that she and other early voters in Utah, were unable to cast ballots in the 2020 presidential elections, as they were told they had already voted.",Refuted,Refuted
22,Trash Can Plastered With 'Ballot Box' Sign In Philadelphia Was Intended To Get People To Toss Their Ballots In The Trash.,Supported,Refuted
23,Joe Biden wants to ban fracking,Supported,Refuted
24,Germany’s Foreign Minister Heiko Maas said that Thailand’s King Maha Vajiralongkorn didn’t do anything illegal while at his German residence.,Supported,Refuted
25,McDonald’s Azerbaijan's official account was promoting the military taking of Nagorno-Karabakh.,Refuted,Supported
26,Ivermectin is a treatment for coronavirus.,Refuted,Not Enough Evidence
27,Sleeping under a mosquito bed net treated (or not treated) with insecticide is ineffective and harmful to human health.,Refuted,Refuted
28,Pogba Has Quit The French National Team Over Macron's Remarks on Islam.,Refuted,Refuted
29,The Wire called Durga puja racist and the goddess Durga a sex worker,Refuted,Refuted
30,"Paul Pogba, who plays for Manchester United and the French national team, retired from international football in response to French President Macron’s comments on Islamist terrorism.",Supported,Refuted
31,"Amy Coney Barrett was confirmed as US Supreme Court Justice on October 26, 2020",Refuted,Supported
32,The New York post Endorsed Donald trumps bid for re-election.,Refuted,Supported
33,"America went from 75,000 flu deaths last year in 2019 to almost 0 in 2020",Supported,Conflicting Evidence/Cherrypicking
34,"The United States, New Zealand, U.K., Australia, and the EU have not included the NDF in their official list of terrorist groups.",Supported,Supported
36,Speaker Robin Vos lost a Republican-held seat in the 2018 election for the first time.,Refuted,Supported
37,Breitbart News reports that the daughter of Delaware Democratic Senator Chris Coons and seven other underage girls were featured on Hunter Biden's laptop.,Refuted,Refuted
38,"Hunter Biden, son of US President Joe Biden has died.",Refuted,Refuted
39,5G causes COVID-19.,Refuted,Refuted
40,Rock musician Jon Bon Jovi performed for 12 people and 7 pumpkins at a campaign event for Democratic presidential nominee Joe Biden in Pennsylvania.,Supported,Refuted
41,Wearing face masks can cause infections from bacteria such as staphylococcus.,Supported,Refuted
43,Donald Trump said that $15 an hour is too much for essential workers,Refuted,Conflicting Evidence/Cherrypicking
44,Deliberately infecting children to COVID-19 at “pox parties” could be a good way to help create herd immunity against COVID-19 without a vaccine.,Refuted,Refuted
45,Cutting the umbilical cord straight away deliberately denies the baby natural immunity so that medical professionals have a reason to vaccinate and medicate them.,Refuted,Refuted
46,The umbilical cord should not be cut until 1 hour after birth or they baby will not have enough blood right after birth.,Refuted,Refuted
47,Joe Biden said he wants to ban fracking in the US.,Supported,Conflicting Evidence/Cherrypicking
48,99% of people recover from COVID-19.,Supported,Refuted
49,The US saw the best carbon emission numbers in 35 years under President Donald Trump's administration.,Supported,Refuted
50,Twitter now putting warnings on tweets that are just unedited clips of Biden saying he would end fracking,Refuted,Conflicting Evidence/Cherrypicking
51,People who do not vote for the Bharatiya Janata Party (BJP) in the 2020 elections will not get the COVID vaccine free of cost.,Refuted,Refuted
52,President Ferdinand Marcos and Dr. Jose Rizal established and founded the WORLD BANK and International Monetary Fund.,Refuted,Refuted
53,The FBI is in possession of the president of the US's son  Hunter Biden's laptop.,Refuted,Supported
54,India’s imports from China increased by 27% in April-August 2020,Refuted,Refuted
